n	n	are you suicidal	do you ever think about hurting yourself or others	hurting	getting	do you ever think about getting yourself or others	False	-0.1340449938
n	n	are you suicidal	do you ever think about hurting yourself or others	hurting	trying	do you ever think about trying yourself or others	False	-0.1183490983
m	n	are you suicidal	have you had any thoughts of suicide	suicide	guilt	have you had any thoughts of guilt	False	-0.0858334146
n	n	are you suicidal	do you ever think about hurting yourself or others	hurting	letting	do you ever think about letting yourself or others	False	-0.0821738025
n	p	are you suicidal	have you had any thoughts of suicide	suicide	suicidal	have you had any thoughts of suicidal	False	-0.0774562651
m	n	are you suicidal	have you had any thoughts of suicide	suicide	remorse	have you had any thoughts of remorse	False	-0.0661756002
y	y	are you suicidal	do you ever think about hurting yourself or others	others	things	do you ever think about hurting yourself or things	False	-0.0597165561
y	p	are you suicidal	have you had any thoughts of suicide	thoughts	indications	have you had any indications of suicide	False	-0.0357894096
n	n	are you suicidal	have you had any thoughts of suicide	suicide	victim	have you had any thoughts of victim	False	-0.0329295424
y	n	are you suicidal	have you had any thoughts of suicide	thoughts	efforts	have you had any efforts of suicide	False	-0.031971039
n	n	are you suicidal	have you had any thoughts of suicide	thoughts	details	have you had any details of suicide	False	-0.0301554387
n	n	are you suicidal	do you ever think about hurting yourself or others	ever	else	do you else think about hurting yourself or others	False	-0.0276201129
n	p	are you suicidal	have you had any thoughts of suicide	thoughts	statements	have you had any statements of suicide	False	-0.0245238946
y	y	are you suicidal	do you ever think about hurting yourself or others	ever	never	do you never think about hurting yourself or others	False	-0.0203657868
n	n	are you suicidal	have you had any thoughts of suicide	thoughts	elements	have you had any elements of suicide	False	-0.0136442066
y	n	are you suicidal	have you had any thoughts of suicide	thoughts	moves	have you had any moves of suicide	False	-0.0134863204
y	n	are you suicidal	have you had any thoughts of suicide	thoughts	plans	have you had any plans of suicide	False	-0.0124477852
n	n	are you suicidal	have you had any thoughts of suicide	thoughts	approaches	have you had any approaches of suicide	False	-0.0121645833
n	n	are you suicidal	have you had any thoughts of suicide	thoughts	messages	have you had any messages of suicide	False	-0.0114059388
n	n	are you suicidal	do you ever think about hurting yourself or others	hurting	suffering	do you ever think about suffering yourself or others	False	-0.011152186
n	n	are you suicidal	do you ever think about hurting yourself or others	ever	alone	do you alone think about hurting yourself or others	False	-0.0063366564
